星宿名,距度,累积赤经,四象,分野州郡,现代星名,史记原文
角宿,12,0,苍龙,兖州,室女座α (Spica),角、亢、氐，兖州
亢宿,9,12,苍龙,兖州,室女座κ (Kappa Vir),角、亢、氐，兖州
氐宿,15,21,苍龙,兖州,天秤座α (Zubenelgenubi),角、亢、氐，兖州
房宿,5,36,苍龙,豫州,天蝎座π (Pi Sco),房、心，豫州
心宿,5,41,苍龙,豫州,天蝎座σ (Sigma Sco),房、心，豫州
尾宿,18,46,苍龙,幽州,天蝎座μ (Mu Sco),尾、箕，幽州
箕宿,11,64,苍龙,幽州,人马座γ (Gamma Sgr),尾、箕，幽州
斗宿,26,75,玄武,江湖,人马座φ (Phi Sgr),斗，江、湖
牛宿,8,101,玄武,扬州,摩羯座β (Dabih),牵牛、婺女，扬州
女宿,12,109,玄武,扬州,宝瓶座ε (Albali),牵牛、婺女，扬州
虚宿,10,121,玄武,青州,宝瓶座β (Sadalsuud),虚、危，青州
危宿,17,131,玄武,青州,宝瓶座α (Sadalmelik),虚、危，青州
室宿,16,148,玄武,并州,飞马座α (Markab),营室至东壁，并州
壁宿,9,164,玄武,并州,飞马座γ (Algenib),营室至东壁，并州
奎宿,16,173,白虎,徐州,仙女座η (Eta And),奎、娄、胃，徐州
娄宿,12,189,白虎,徐州,白羊座β (Sheratan),奎、娄、胃，徐州
胃宿,14,201,白虎,徐州,白羊座35 (35 Ari),奎、娄、胃，徐州
昴宿,11,215,白虎,冀州,金牛座η (Alcyone),昴、毕，冀州
毕宿,16,226,白虎,冀州,金牛座ε (Ain),昴、毕，冀州
觜宿,2,242,白虎,益州,猎户座λ (Meissa),觜觿、参，益州
参宿,9,244,白虎,益州,猎户座ζ (Alnitak),觜觿、参，益州
井宿,33,253,朱雀,雍州,双子座μ (Tejat),东井、舆鬼，雍州
鬼宿,4,286,朱雀,雍州,巨蟹座θ (Theta Cnc),东井、舆鬼，雍州
柳宿,15,290,朱雀,三河,长蛇座δ (Delta Hya),柳、七星、张，三河
星宿,7,305,朱雀,三河,长蛇座α (Alphard),柳、七星、张，三河
张宿,18,312,朱雀,三河,长蛇座υ (Upsilon Hya),柳、七星、张，三河
翼宿,18,330,朱雀,荆州,巨爵座α (Alkes),翼、轸，荆州
轸宿,17,348,朱雀,荆州,乌鸦座γ (Gienah),翼、轸，荆州
